,precision,recall,f1-score,support
Cargo,0.9230769230769231,0.9056603773584906,0.9142857142857143,318.0
Carrier,0.9924242424242424,0.9492753623188406,0.9703703703703703,138.0
Cruise,0.96875,0.992,0.9802371541501976,125.0
Military,0.9606741573033708,0.9771428571428571,0.9688385269121813,175.0
Tankers,0.8670212765957447,0.8956043956043956,0.8810810810810811,182.0
accuracy,0.9349680170575693,0.9349680170575693,0.9349680170575693,0.9349680170575693
macro avg,0.9423893198800561,0.9439365984849168,0.9429625693599089,938.0
weighted avg,0.9355038452681477,0.9349680170575693,0.9350608864489673,938.0
